TFM	Brukerkode	Room	Antall
			
UE	201T		2
UE	102T		19
UE	103T		25
UF	000003T		17
UE	103T	F50.06.023	48
UF	000003T	F50.06.023	24
UE	103T	F50.06.026	2
UF	000003T	F50.06.026	1
UE	103T	F50.07.024	5
UE	102T	F50.07.024	3
UF	000003T	F50.07.024	4
UE	103T	F50.07.025	6
UE	102T	F50.07.025	2
UF	000003T	F50.07.025	3
UE	102T	F50.07.026	5
UE	103T	F50.07.026	2
UF	000003T	F50.07.026	3
UE	103T	F50.07.073	2
UF	000003T	F50.07.073	1
UE	102T	F50.07.089	2
UE	103T	F50.07.089	4
UF	000003T	F50.07.089	2
UE	201T	F50.07.095	1
UE	102T	F50.07.095	1
UE	102T	F50.07.100	1
UE	102T	F50.07.105	1
UE	102T	F50.07.118	2
UE	201T	F50.07.129	2
UE	102T	F50.07.129	2
UE	102T	F50.07.142	3
UF	000003T	F50.07.142	1
UE	102T	F50.07.155	4
UE	103T	F50.07.155	2
UF	000003T	F50.07.155	2
UE	103T	F50.12.004	13
UF	000003T	F50.12.004	11
UE	103T	F50.12.010	3
UF	000003T	F50.12.010	2
UE	103T	F50.12.014	4
UF	000003T	F50.12.014	2
UE	103T	F50.12.016	1
UF	000003T	F50.12.016	1
UE	102T	F50.12.018	1
UE	103T	F50.12.019	1
UF	000003T	F50.12.019	1
UE	102T	F50.15.021	1
UE	103T	F50.15.036	8
UE	102T	F50.15.036	1
UF	000003T	F50.15.036	5
UE	201T	F50.15.040	1
UE	102T	F50.15.040	3
UE	103T	F50.15.045	10
UE	102T	F50.15.045	4
UF	000003T	F50.15.045	3
UE	102T	F50.15.050	6
UE	103T	F50.15.050	8
UF	000003T	F50.15.050	3
UE	102T	F50.15.054	1
UE	102T	F50.15.064	1
UE	102T	F50.15.089	1
UE	103T	F50.15.089	6
UF	000003T	F50.15.089	3
UE	102T	F50.15.095	4
UE	102T	F50.15.100	12
UF	000003T	F50.15.100	1
UE	102T	F50.15.109	6
UF	000003T	F50.15.109	2
UE	102T	F50.15.113	5
UF	000003T	F50.15.113	1
UE	201T	F50.19.051	1
UE	102T	F50.19.051	2
UE	103T	F50.19.062	8
UE	102T	F50.19.062	1
UF	000003T	F50.19.062	5
UE	201T	F50.19.069	1
UE	102T	F50.19.069	3
UE	103T	F50.19.082	12
UE	102T	F50.19.082	2
UF	000003T	F50.19.082	1
UE	103T	F50.19.099	3
UE	102T	F50.19.099	3
UF	000003T	F50.19.099	1
UE	103T	F50.19.101	4
UF	000003T	F50.19.101	2
UE	103T	F50.20.024	2
UF	000003T	F50.20.024	1
UE	102T	F50.20.028	1
UF	000003T	F50.20.028	1
UE	102T	F50.20.031	1
UE	102T	F50.20.033	1
UF	000003T	F50.20.033	1
UE	102T	F50.20.060	1
UE	103T	F50.20.060	2
UF	000003T	F50.20.060	1
UE	102T	F50.20.061	1
UE	103T	F50.20.061	2
UF	000003T	F50.20.061	1
UE	102T	F50.20.067	1
UE	103T	F50.20.067	2
UF	000003T	F50.20.067	1
UE	201T	F50.20.099	1
UE	102T	F50.20.099	1
UE	103T	F50.20.109	2
UF	000003T	F50.20.109	1
UE	102T	F50.20.123	2
UE	102T	F50.20.127	1
UE	102T	F50.21.008	1
UE	103T	F50.21.008	2
UF	000003T	F50.21.008	1
UE	102T	F50.21.027	4
UF	000003T	F50.21.027	4
UE	102T	F50.25.016	1
UE	102T	F50.25.032	4
UF	000003T	F50.25.032	1
UE	102T	F50.25.044	1
UE	103T	F50.25.067	10
UE	102T	F50.25.067	2
UF	000003T	F50.25.067	1
UE	102T	F50.25.074	2
UF	000003T	F50.25.074	1
UE	102T	F50.25.080	1
UE	102T	F50.25.082	3
UF	000003T	F50.25.082	1
UE	102T	F50.25.085	1
UE	102T	F50.28.008	1
UE	102T	F50.28.011	1
UE	102T	F50.28.028	3
UE	102T	F50.28.029	4
UF	000003T	F50.28.029	1
UE	103T	F50.28.030	8
UF	000003T	F50.28.030	4
UE	102T	F50.28.036	1
UE	103T	F50.28.036	2
UF	000003T	F50.28.036	1
UE	102T	F50.28.052	1
UE	103T	F50.28.061	12
UE	102T	F50.28.061	1
UF	000003T	F50.28.061	1
UE	102T	F50.28.062	1
UE	102T	F50.28.064	4
UF	000003T	F50.28.064	1
UE	102T	F50.28.077	2
UF	000003T	F50.28.077	1
UE	102T	F50.28.082	1
UE	102T	F50.30.016	1
UE	103T	F50.30.021	2
UF	000003T	F50.30.021	1
